Sistema de Informações Hidrológicas
Versão Web 3.0
© 2018 Agência Nacional de Águas (ANA)

NivelConsistencia: 1 = Bruto, 2 = Consistido
TipoMedicaoChuvas: 1 = Pluviômetro, 2 = Pluviógrafo, 3 = Data logger
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Acumulado

Restrições da consulta:
Código da Estação:02043052


EstacaoCodigo;NivelConsistencia;Data;TipoMedicaoChuvas;Maxima;Total;DiaMaxima;NumDiasDeChuva;MaximaStatus;TotalStatus;NumDiasDeChuvaStatus;TotalAnual;TotalAnualStatus;Chuva01;Chuva02;Chuva03;Chuva04;Chuva05;Chuva06;Chuva07;Chuva08;Chuva09;Chuva10;Chuva11;Chuva12;Chuva13;Chuva14;Chuva15;Chuva16;Chuva17;Chuva18;Chuva19;Chuva20;Chuva21;Chuva22;Chuva23;Chuva24;Chuva25;Chuva26;Chuva27;Chuva28;Chuva29;Chuva30;Chuva31;Chuva01Status;Chuva02Status;Chuva03Status;Chuva04Status;Chuva05Status;Chuva06Status;Chuva07Status;Chuva08Status;Chuva09Status;Chuva10Status;Chuva11Status;Chuva12Status;Chuva13Status;Chuva14Status;Chuva15Status;Chuva16Status;Chuva17Status;Chuva18Status;Chuva19Status;Chuva20Status;Chuva21Status;Chuva22Status;Chuva23Status;Chuva24Status;Chuva25Status;Chuva26Status;Chuva27Status;Chuva28Status;Chuva29Status;Chuva30Status;Chuva31Status
2043052;1;01/02/1979;1;;;;;0;0;0;;0;;10,9;35,7;11,9;;30,9;3,0;5,0;2,6;0,0;0,0;3,2;;;25,7;4,0;0,0;2,6;;4,0;;18,5;0,0;0,0;0,0;0,0;1,0;0,0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2043052;1;01/11/1980;1;;;;;0;0;0;;0;0,4;1,8;0,0;0,0;0,0;0,0;0,2;;;0,0;0,0;;;1,4;0,0;0,0;3,5;5,2;0,0;;10,4;0,0;0,0;;;0,0;0,0;0,0;15,4;2,2;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2043052;1;01/03/1981;1;;;;;0;0;0;;0;0,0;0,0;0,0;0,0;;;;2,8;;;;;0,0;0,0;0,0;0,0;0,0;;;;;5,5;0,0;0,0;;;;;;0,0;4,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2043052;1;01/08/1981;1;;;;;0;0;0;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,0;0,8;0,0;0,0;24,0;4,0;0,0;0,0;;0,0;0,0;;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2043052;1;01/10/1982;1;;;;;0;0;0;;0;0,0;0,0;17,3;14,4;0,0;0,0;41,0;0,0;3,6;14,2;21,4;0,9;23,4;8,2;0,0;0,0;0,0;0,0;0,9;0,0;0,0;0,3;0,0;0,0;0,0;0,5;0,0;1,8;;0,1;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2043052;1;01/10/1983;1;27,0;169,7;23;16;1;1;1;;0;0,2;0,0;0,0;0,8;0,0;0,0;0,0;2,6;0,0;0,0;14,3;0,7;26,2;22,9;12,0;0,0;0,0;0,0;9,9;15,9;0,0;17,9;27,0;13,4;2,0;0,9;0,0;0,0;0,0;3,0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2043052;1;01/02/1990;1;49,0;182,0;14;14;1;1;1;;0;0,0;0,0;0,0;0,0;6,6;0,0;0,0;0,0;17,6;11,3;0,0;0,4;0,0;49,0;0,0;3,8;0,0;0,0;4,2;1,4;0,0;39,0;18,4;11,6;0,0;17,2;0,8;0,7;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2043052;1;01/04/1993;1;15,8;117,3;30;15;1;1;1;;0;0,9;9,1;0,0;4,0;0,0;0,0;0,0;13,0;13,8;0,0;3,0;0,0;0,0;0,0;3,0;11,2;0,0;0,9;15,0;4,7;0,0;0,0;4,7;13,4;0,0;0,0;0,0;4,8;0,0;15,8;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2043052;1;01/03/1995;1;93,2;200,4;14;;1;1;0;;0;;0,0;0,0;;;0,0;10,0;0,0;0,0;0,0;;;0,0;93,2;26,0;2,8;0,0;;;0,0;0,0;10,0;43,0;0,0;;;0,0;0,0;0,0;0,0;15,4;0;4;1;0;0;4;1;1;1;1;0;0;4;1;1;1;1;0;0;4;1;1;1;1;0;0;4;1;1;1;1;
2043052;1;01/04/1995;1;;;;;0;0;0;;0;;;0,0;0,0;0,0;0,0;0,0;;;0,0;0,0;0,0;0,0;;;;9,0;0,0;0,0;0,0;;;;36,0;1,0;0,0;0,0;0,0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
